# Title: Crypto Firewall (Splunk),,,,,,,
# Updated: 2026-01-05T12:03:18Z,,,,,,,
# Expires: 1 days (update frequency),,,,,,,
# Homepage: https://github.com/chartingshow/crypto-firewall/,,,,,,,
# Contribute: https://github.com/chartingshow/crypto-firewall/issues,,,,,,,
# License: GPL-3.0 license,,,,,,,
# Source: https://github.com/chartingshow/crypto-firewall/blob/master/src/blacklists/splunk.csv, stamparm/ipsum, binarydefense, Proofpoint emergingthreats, greensnow, threatview, myip.ms, firehol
ip,message,updated,,,,,
1.234.2.232,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
1.234.21.73,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
1.94.238.169,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
10.28.17.62,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
100.116.67.89,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
100.125.143.17,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
100.27.42.241,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
100.28.120.141,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
101.126.144.7,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
101.126.151.38,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
101.132.186.25,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
101.133.172.90,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
101.201.174.160,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
101.34.235.48,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
101.35.228.105,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
101.36.114.254,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
101.43.62.241,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
101.50.0.91,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
102.117.160.246,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
102.117.160.58,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
102.117.161.33,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
102.117.171.150,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
